OTU	341F-785R-P01-A01-1	341F-785R-P01-A02-11	341F-785R-P01-A03-24	341F-785R-P01-A04-42	341F-785R-P01-A05-55	341F-785R-P01-A06-73	341F-785R-P01-B01-2	341F-785R-P01-B02-12	341F-785R-P01-B03-25	341F-785R-P01-B04-43	341F-785R-P01-B05-61	341F-785R-P01-B06-74	341F-785R-P01-C01-3	341F-785R-P01-C02-13	341F-785R-P01-C03-31	341F-785R-P01-C04-44	341F-785R-P01-C05-62	341F-785R-P01-C06-75	341F-785R-P01-D01-4	341F-785R-P01-D02-14	341F-785R-P01-D03-32	341F-785R-P01-D04-45	341F-785R-P01-D05-63	341F-785R-P01-D06-81	341F-785R-P01-E01-5	341F-785R-P01-E02-15	341F-785R-P01-E03-33	341F-785R-P01-E04-51	341F-785R-P01-E05-64	341F-785R-P01-E06-82	341F-785R-P01-F01-6	341F-785R-P01-F02-21	341F-785R-P01-F03-34	341F-785R-P01-F04-52	341F-785R-P01-F05-65	341F-785R-P01-G01-7	341F-785R-P01-G02-22	341F-785R-P01-G03-35	341F-785R-P01-G04-53	341F-785R-P01-G05-71	341F-785R-P01-H01-8	341F-785R-P01-H02-23	341F-785R-P01-H03-41	341F-785R-P01-H04-54	341F-785R-P01-H05-72
OTU137	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	8	0	0	3	0	0	7	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	2	0
OTU138	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	12	0	0	10	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU139	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	5	0	0	10	0	0	4	0	4	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0
OTU140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	18	0	0
OTU141	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	5	0	0	1	0	0	2	1	9	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	2	0
OTU142	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	6	0	0	3	0	0	1	2	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0
OTU143	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	2	1	0	1	0	0	0	1	0	0	0	4	0	0	1	0	0	3	0	2	0	3	3	0
OTU144	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	9	0	0	4	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	1	0
OTU145	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	7	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	2	3	0
OTU146	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	9	0	0	1	0	0	2	2	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0
OTU147	0	0	0	0	0	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	6	0	0	6
OTU148	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	5	0	0	4	0	9	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	1	0
OTU149	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	10	0	0	4	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
OTU150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	5	0	14	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0
OTU151	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	2	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
OTU152	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	6	0	0	4	0	0	7	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU153	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	4	0	0	11	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0
OTU154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	2	0	0	3	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
OTU155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	1	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	2	1	0
OTU156	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	1	0	0	4	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	7	2	0
OTU157	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	12	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
OTU158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	9	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	0
OTU159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	9	0	0	4	0	4	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0
OTU160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	10	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0
OTU161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	7	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	9	1	0
OTU163	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0	6	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	2	1	0
OTU164	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	7	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	0
OTU165	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	11	0	0	1	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
OTU166	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	5	0	0	6	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0
OTU167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	11	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0
OTU168	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	1	0	0	6	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	1	0
OTU169	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	5	0	0	3	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0
OTU170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	5	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU171	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	6	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
OTU172	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	8	0	0	2	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0
OTU173	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	19	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU174	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	7	1	0
OTU175	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	11	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	4	0	0	3	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0
OTU178	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	6	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	4	0	0
OTU179	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	10	0	0	3	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU180	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	9	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
OTU181	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	5	0	0	1	0	0	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0
OTU182	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	7	0	0	4	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0
OTU184	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	3	0	0	6	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0
OTU185	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0
OTU186	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	5	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	1	0
OTU187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	8	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0
OTU188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2	1	4	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0	2	1	0
OTU189	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	2	0	0	3	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0
OTU190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	5	0	2	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	2	0	0
OTU191	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	8	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0
OTU192	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	7	0	0	4	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0
OTU193	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	4	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
OTU194	0	0	0	0	0	0	4	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	5
OTU195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	4	0
OTU196	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	6	0	0	4	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	9	2	0
OTU198	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	7	0	0	2	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0
OTU199	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	3	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0
OTU200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0
OTU201	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	2	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0
OTU202	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	3	0	0	2	0	0	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
OTU203	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	5	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0
OTU204	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	2	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0
OTU205	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	4	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU206	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	5	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	0
OTU207	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	1	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0
OTU208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0
OTU209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	3	0	4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	3	0	0
OTU210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0	8	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU211	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
OTU212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	1	0
OTU213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	3	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
OTU214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
OTU215	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0
OTU216	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0
OTU217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	3	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0
OTU218	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	3	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
OTU219	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	0	0	0	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0
OTU221	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	6	0	0	1	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU222	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0
OTU223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0
OTU224	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0
OTU225	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	3	0	0	3	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU226	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	5	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
OTU227	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
OTU228	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	2	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
OTU229	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	1	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0
OTU230	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	3	0	0
OTU231	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
OTU232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU233	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	2	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0
OTU234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0
OTU235	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	3	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
OTU236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0
OTU237	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
OTU238	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
OTU239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0
OTU240	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
OTU241	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	2	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU242	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0
OTU244	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
OTU245	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
OTU246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	1	0
OTU248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU249	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
OTU251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	2	0
OTU252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
OTU253	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0
OTU254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
OTU255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0
OTU256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
OTU257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU258	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU260	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU261	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU263	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
OTU264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
OTU265	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU266	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
OTU267	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU268	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
OTU269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU270	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
OTU271	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
OTU274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU276	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
