OTU	341F-785R-P01-A01-1	341F-785R-P01-A02-11	341F-785R-P01-A03-24	341F-785R-P01-A04-42	341F-785R-P01-A05-55	341F-785R-P01-A06-73	341F-785R-P01-B01-2	341F-785R-P01-B02-12	341F-785R-P01-B03-25	341F-785R-P01-B04-43	341F-785R-P01-B05-61	341F-785R-P01-B06-74	341F-785R-P01-C01-3	341F-785R-P01-C02-13	341F-785R-P01-C03-31	341F-785R-P01-C04-44	341F-785R-P01-C05-62	341F-785R-P01-C06-75	341F-785R-P01-D01-4	341F-785R-P01-D02-14	341F-785R-P01-D03-32	341F-785R-P01-D04-45	341F-785R-P01-D05-63	341F-785R-P01-D06-81	341F-785R-P01-E01-5	341F-785R-P01-E02-15	341F-785R-P01-E03-33	341F-785R-P01-E04-51	341F-785R-P01-E05-64	341F-785R-P01-E06-82	341F-785R-P01-F01-6	341F-785R-P01-F02-21	341F-785R-P01-F03-34	341F-785R-P01-F04-52	341F-785R-P01-F05-65	341F-785R-P01-G01-7	341F-785R-P01-G02-22	341F-785R-P01-G03-35	341F-785R-P01-G04-53	341F-785R-P01-G05-71	341F-785R-P01-H01-8	341F-785R-P01-H02-23	341F-785R-P01-H03-41	341F-785R-P01-H04-54	341F-785R-P01-H05-72
OTU53	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	20	0	0	92	0	0	56	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0
OTU54	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172	0	0	0	0	0	0	0
OTU55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	87	0	0	60	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	1	0
OTU56	0	0	0	2	0	0	0	0	0	17	1	0	0	0	0	31	1	0	20	0	0	16	1	47	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	19	7	0
OTU57	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	7	0	0	1	0	1	9	1	14	1	0	2	0	0	119	0	0	0	0	2	0	1	0	1	0	1	0	2	0	0
OTU58	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	52	0	0	26	0	0	12	1	39	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	23	5	0
OTU59	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	53	0	0	63	0	0	32	1	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	3	1	0
OTU60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156	0	0	0	0	0	0	0
OTU61	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	24	0	0	10	0	0	16	3	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	19	9	0
OTU62	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	17	0	0	29	0	0	22	3	22	1	0	0	1	0	0	0	0	0	0	0	0	0	0	9	0	0	0	27	13	0
OTU63	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	1	0	0	0	0	0	0
OTU64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0
OTU65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0
OTU66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	0	0	0	0	0	0	0
OTU67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0
OTU68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0
OTU69	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	8	0	0	16	0	1	12	0	23	0	0	0	0	0	0	0	0	1	0	3	0	0	0	2	0	0	0	20	12	0
OTU70	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	8	0	0	15	0	0	17	2	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	10	5	0
OTU71	0	0	0	1	0	0	0	0	0	5	0	0	0	0	0	13	0	0	14	0	0	7	3	18	0	0	0	0	0	0	0	0	0	1	2	0	0	0	5	0	0	0	16	9	0
OTU72	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	18	0	0	15	0	0	11	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	11	3	0
OTU73	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	15	0	0	15	0	0	10	0	24	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	12	4	0
OTU74	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	28	0	0	12	0	0	14	1	13	0	0	0	0	0	0	1	0	1	0	6	0	0	0	0	0	0	0	8	2	0
OTU75	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	28	0	0	10	0	0	15	2	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	5	0
OTU76	0	0	0	0	0	0	0	0	0	5	1	0	1	0	0	10	0	0	12	0	0	4	0	21	1	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	16	6	0
OTU77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	12	0	0	8	0	16	0	0	0	0	0	0	0	0	0	0	0	1	0	0	7	0	0	0	13	10	0
OTU78	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	18	0	0	22	0	0	28	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU79	0	0	0	1	0	0	0	0	0	41	0	0	0	0	0	10	0	0	4	0	0	6	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0
OTU80	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	14	0	0	6	0	0	10	0	17	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	13	6	0
OTU81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
OTU82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0
OTU83	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	14	0	0	19	0	0	13	0	7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	6	0	0
OTU84	0	0	1	2	0	0	0	0	0	2	1	0	0	0	0	11	0	0	13	0	0	7	0	16	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	5	3	0
OTU85	0	0	0	3	0	0	0	0	0	5	0	0	0	0	0	19	0	0	4	0	0	5	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	4	2	0
OTU86	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	13	0	0	14	0	0	12	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	0
OTU87	0	0	0	0	0	0	0	0	0	6	2	0	0	0	0	15	0	0	5	0	0	13	0	16	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	3	0
OTU88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	9	0	0	7	0	12	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	7	9	0
OTU89	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	35	0	0	1	0	0	0	1	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0
OTU90	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	8	0	0	7	0	0	4	0	20	0	0	0	1	0	0	0	0	0	0	3	0	0	1	1	0	0	0	9	5	0
OTU91	0	0	0	0	0	1	0	0	0	2	2	0	0	0	0	4	0	0	8	0	0	5	3	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	7	3	1
OTU92	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	53	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0
OTU93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	9	0	0	11	0	11	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0	9	0	0
OTU94	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	11	0	0	5	0	0	9	0	11	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	15	0	0
OTU95	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	12	0	0	10	0	0	7	0	12	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	9	2	0
OTU96	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	32	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU97	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	6	0	0	12	0	0	7	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	9	0	0	20	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0
OTU99	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	17	0	0	6	0	0	6	0	15	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	2	0
OTU100	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	7	0	0	19	0	0	14	0	4	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	5	0	0
OTU101	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	13	0	0	6	0	0	8	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	10	2	0
OTU102	0	0	0	3	0	0	0	0	0	12	0	0	0	0	0	16	0	0	2	0	0	4	1	4	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	4	4	0
OTU103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	14	0	0	23	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0
OTU104	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	5	0	0	5	0	0	10	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	2	0
OTU105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	2	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
OTU106	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	9	0	0	7	0	0	5	0	12	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	10	3	0
OTU107	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	7	0	0	1	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU108	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	1	3	0	0	1	0	31	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0
OTU109	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	12	0	0	2	0	0	5	0	17	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	1	0
OTU110	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0
OTU111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	3	0	0	13	0	8	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	4	7	0
OTU112	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	10	0	0	6	0	0	8	0	8	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	4	2	0
OTU113	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	5	0	0	9	0	0	13	0	8	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	3	0	0
OTU114	0	1	1	1	0	0	1	3	0	0	1	0	0	0	0	0	0	1	1	2	0	0	1	0	1	2	2	1	2	0	1	2	0	0	4	0	1	0	2	3	4	1	0	1	3
OTU115	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	11	0	0	3	0	0	5	0	4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	12	2	0
OTU116	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	13	0	0	1	0	0	10	1	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	5	2	0
OTU117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0
OTU118	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	10	0	0	2	0	0	4	1	6	1	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	3	0	0
OTU119	2	1	2	1	0	0	1	2	0	2	2	5	1	1	0	0	1	3	0	0	1	0	0	0	0	0	0	0	3	0	0	1	1	0	0	0	1	1	0	2	3	0	0	1	1
