name,verdünnung,18S,16S
T1,1 zu 99,1613,4153000
T1,1 zu 99,1286,5712000
T2,1 zu 90,6387,4052000
T2,1 zu 90,5814,5502000
T3,50 zu 50 ,106020,2552000
T3,50 zu 50 ,77680,2170000
T4,99 zu 1,125220,53950
T4,99 zu 1,113500,58450
T5,90 zu 1,89710,49690
T5,90 zu 1,75520,44330
T6,75 zu 25,81700,1261000
T6,75 zu 25,76280,1028000
T7,25 zu 75,14950,4075000
T7,25 zu 75,18440,3651000
