OTU	SMPL97	SMPL93	SMPL91	SMPL9	SMPL81	SMPL79	SMPL75	SMPL71	SMPL69	SMPL65	SMPL63	SMPL61	SMPL73	SMPL57	SMPL89	SMPL55	SMPL51	SMPL5	SMPL47	SMPL85	SMPL41	SMPL231	SMPL291	SMPL285	SMPL219	SMPL321	SMPL237	SMPL145	SMPL241	SMPL3	SMPL211	SMPL279	SMPL99	SMPL21	SMPL207	SMPL203	SMPL205	SMPL165	SMPL215	SMPL149	SMPL187	SMPL185	SMPL181	SMPL49	SMPL329	SMPL379	SMPL175	SMPL23	SMPL77	SMPL17	SMPL261	SMPL221	SMPL359	SMPL167	SMPL201	SMPL127	SMPL273	SMPL19	SMPL191	SMPL35	SMPL229	SMPL297	SMPL123	SMPL121	SMPL209	SMPL1	SMPL223	SMPL119	SMPL235	SMPL225	SMPL29	SMPL33	SMPL331	SMPL83	SMPL179	SMPL233	SMPL67	SMPL397	SMPL143	SMPL263	SMPL355	SMPL213	SMPL129	SMPL11	SMPL113	SMPL105	SMPL139	SMPL161	SMPL147	SMPL109	SMPL257	SMPL27	SMPL303	SMPL171	SMPL345	SMPL385	SMPL399	SMPL163	SMPL357	SMPL131	SMPL173	SMPL155	SMPL253	SMPL95	SMPL137	SMPL243	SMPL311	SMPL333	SMPL111	SMPL339	SMPL239	SMPL43	SMPL169	SMPL183	SMPL103	SMPL277	SMPL135	SMPL195	SMPL87	SMPL13	SMPL133	SMPL115	SMPL189	SMPL141	SMPL381	SMPL227	SMPL117	SMPL15	SMPL151	SMPL301	SMPL157	SMPL245	SMPL247	SMPL153	SMPL249	SMPL25	SMPL59	SMPL255	SMPL259	SMPL107	SMPL393	SMPL265	SMPL361	SMPL295	SMPL271	SMPL275	SMPL281	SMPL283	SMPL335	SMPL287	SMPL317	SMPL293	SMPL299	SMPL305	SMPL307	SMPL177	SMPL309	SMPL217	SMPL31	SMPL193	SMPL319	SMPL199	SMPL313	SMPL315	SMPL323	SMPL289	SMPL325	SMPL125	SMPL327	SMPL337	SMPL159	SMPL341	SMPL343	SMPL347	SMPL349	SMPL351	SMPL353	SMPL363	SMPL197	SMPL365	SMPL7	SMPL269	SMPL39	SMPL367	SMPL45	SMPL37	SMPL371	SMPL267	SMPL373	SMPL53	SMPL251	SMPL101	SMPL375	SMPL377	SMPL383	SMPL369	SMPL387	SMPL389	SMPL391	SMPL395
OTU11	0	1	1	5	157	41	1	4	6	4	0	7	6	7	0	6	1	0	4	1	0	5	0	35	12	2	1	17	0	0	0	1	1	0	0	0	0	6	0	0	0	4	6	3	1	3	8	0	1	0	31	15	0	0	0	27	48	0	3	2	0	0	11	42	25	26	14	0	0	0	2	1	6	5	5	1	0	36	0	19	1	3	4	1	0	2	0	2	12	1	26	92	0	184	17	2	98	0	5	0	3	1	1	1	1	0	0	25	0	1	10	0	52	29	0	7	0	3	7	0	7	0	0	1	2	0	0	2	4	0	0	1	2	2	13	0	0	1	0	1	2	0	385	0	2	12	1	70	0	4	15	0	0	0	0	49	3	0	1	5	1	1	2	9	0	0	2	2	5	1	0	2	5	2	1	17	6	9	0	9	4	0	1	14	0	1	4	6	1	7	12	0	0	1	2	1	8	19	16	5
OTU12	0	1	0	0	86	202	2	0	1	9	1	2	3	10	0	0	0	0	4	0	4	2	1	42	0	1	9	7	6	0	0	4	1	0	0	1	1	4	1	1	2	1	2	2	0	17	7	0	0	0	26	13	1	0	0	3	36	0	2	0	0	0	1	8	4	1	16	0	0	0	2	1	2	3	28	2	0	27	0	0	4	1	2	2	0	0	0	0	10	1	12	23	0	614	15	1	44	0	3	2	1	0	0	7	1	0	0	10	0	1	11	0	22	12	1	21	0	1	24	0	0	0	0	1	7	0	0	0	2	0	1	0	0	0	11	0	0	0	0	1	2	2	25	0	31	23	3	32	1	21	8	1	0	0	0	48	3	2	2	0	1	0	1	2	0	0	1	0	1	1	0	5	3	7	1	13	8	45	3	5	7	2	1	17	1	2	13	3	0	4	39	1	11	1	1	1	51	30	13	5
OTU13	0	0	0	2	140	19	1	0	8	11	0	10	2	13	1	2	0	0	16	0	9	14	0	2	4	1	6	9	0	3	0	0	3	0	0	0	0	3	0	0	0	2	3	0	0	3	8	0	0	0	58	29	0	0	3	14	22	0	7	0	0	0	5	6	13	14	32	0	1	0	5	3	0	0	4	1	0	40	0	11	0	2	3	1	1	2	0	0	6	0	16	94	0	85	13	4	72	0	1	1	0	0	0	1	1	0	1	7	0	0	23	0	28	18	1	0	0	0	7	0	1	0	0	0	5	0	0	0	1	0	0	1	0	1	15	0	0	0	0	2	0	1	498	0	4	6	0	7	0	3	3	0	0	0	0	39	3	2	6	1	0	2	1	4	0	0	1	0	1	4	0	6	0	0	1	11	12	7	0	8	6	0	7	32	2	2	1	0	0	7	3	3	8	0	2	0	164	63	19	3
OTU14	0	0	0	2	128	32	2	2	7	5	1	3	7	16	0	5	1	0	1	0	1	2	1	19	9	2	2	8	1	0	0	1	1	0	0	2	0	5	0	1	0	0	8	0	1	3	9	1	0	0	25	4	0	1	0	17	31	1	1	1	0	0	10	42	18	19	14	0	0	0	1	0	3	3	3	0	0	32	0	19	2	0	0	0	0	4	0	0	7	0	22	72	0	155	12	7	97	1	0	0	2	0	1	2	0	0	1	13	0	0	4	0	42	12	0	3	1	2	6	0	4	0	0	0	4	0	0	1	1	0	2	0	1	1	6	0	0	0	0	0	0	1	283	1	3	20	2	36	0	1	4	0	0	0	0	39	0	2	2	7	1	0	1	12	0	0	0	1	7	0	0	1	3	1	0	13	1	2	1	1	5	1	0	5	0	0	3	6	0	3	16	0	2	1	0	1	17	26	14	9
OTU15	0	0	0	1	128	47	0	2	3	2	0	9	0	8	0	1	0	0	5	0	15	6	0	15	2	0	7	12	2	0	1	0	1	0	0	1	0	2	0	0	1	0	2	1	0	5	3	0	0	0	37	26	0	0	0	6	22	0	1	0	0	0	7	23	3	5	39	0	0	0	1	2	0	1	3	3	0	27	0	14	2	1	2	1	0	0	0	0	5	0	19	53	1	115	13	2	50	0	0	1	0	0	0	3	0	0	1	7	0	0	22	1	21	7	1	4	0	0	10	0	1	0	0	0	3	0	0	0	1	0	0	0	1	1	2	1	0	0	0	0	4	1	274	7	1	9	1	13	0	3	2	0	0	0	0	27	4	8	5	4	0	0	2	1	0	0	1	0	0	3	0	4	3	3	0	10	3	4	1	6	1	0	5	6	1	2	2	0	0	5	10	1	0	0	2	0	223	33	7	7
OTU16	0	0	1	0	109	30	0	0	2	7	0	0	2	5	0	0	0	0	1	1	0	0	1	27	0	3	4	7	1	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	1	3	3	0	0	0	13	8	1	0	0	1	13	0	2	0	0	0	4	13	3	0	19	0	0	1	0	0	3	1	2	1	0	27	0	2	2	2	1	0	0	0	0	1	4	0	3	6	0	307	9	1	51	0	2	0	0	0	0	1	1	0	0	8	0	0	4	0	6	3	0	8	0	2	7	0	2	0	0	0	6	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	2	0	208	2	4	17	0	12	0	1	2	0	0	0	0	25	2	2	2	0	1	0	1	3	0	0	0	1	1	4	1	3	2	0	0	2	4	17	0	0	0	0	2	10	0	0	3	2	0	2	64	0	3	0	0	0	43	48	6	7
OTU17	0	0	0	0	91	24	0	0	1	1	0	5	2	7	0	2	0	0	12	0	11	10	0	9	3	0	6	8	1	0	1	1	1	0	1	0	0	3	0	0	1	2	2	0	0	2	5	0	0	0	28	14	1	0	1	5	12	1	3	1	0	0	4	24	4	5	42	0	0	1	4	2	1	0	2	3	0	29	0	18	1	0	0	1	0	1	0	1	2	0	8	54	2	76	6	3	33	0	2	0	0	0	0	0	1	0	2	1	0	0	14	0	14	0	0	3	0	2	7	0	0	0	0	0	5	0	0	0	2	0	0	0	1	0	2	0	0	0	0	1	0	0	184	2	1	7	0	10	0	1	2	0	0	0	0	22	3	7	1	1	1	0	0	0	0	0	0	0	0	1	0	2	3	0	0	10	3	3	0	1	0	0	4	8	0	1	1	0	0	6	4	0	3	0	1	0	195	17	3	5
OTU18	0	0	0	0	103	28	0	0	3	4	0	0	1	4	0	0	0	1	1	0	1	1	0	22	0	1	1	12	2	0	1	1	1	0	0	0	0	4	0	0	2	0	2	0	0	6	4	0	2	0	16	4	0	0	0	8	17	1	5	0	0	0	2	10	2	6	18	0	0	0	2	1	1	0	8	1	0	11	0	0	0	0	2	3	0	2	0	1	3	1	7	10	0	264	8	0	40	0	0	0	0	0	0	0	1	0	1	6	0	0	3	0	6	4	1	4	0	0	5	0	2	0	0	0	6	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	3	0	182	1	3	18	1	12	0	0	0	0	0	0	0	13	3	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	5	1	14	0	5	1	1	3	13	0	1	9	3	0	0	55	0	1	1	2	0	49	48	6	1
OTU19	0	0	2	0	54	33	0	0	9	7	0	10	2	2	2	0	7	0	0	0	0	2	1	27	1	2	3	3	1	2	0	4	0	0	0	1	0	4	0	2	0	0	4	2	0	4	4	0	4	0	34	12	1	0	4	9	21	0	2	0	0	0	4	6	1	4	7	0	0	0	0	1	4	6	6	1	0	31	0	0	0	1	0	1	0	1	1	1	4	0	11	13	0	68	11	5	48	0	5	2	2	0	0	3	2	0	1	9	0	0	6	0	13	10	0	15	0	2	3	0	4	0	1	0	8	0	0	0	2	0	1	0	0	1	12	0	0	0	0	1	0	0	28	1	7	31	0	66	0	3	10	0	0	0	0	62	1	0	2	1	1	0	0	7	0	0	0	0	4	4	0	6	5	1	1	17	1	1	1	1	0	0	3	4	0	0	1	7	1	9	215	0	3	1	0	0	5	16	6	5
OTU20	0	0	0	0	70	22	1	0	4	5	0	4	1	4	0	0	0	0	14	0	2	23	0	19	5	2	2	11	2	1	1	1	1	0	0	2	0	1	0	2	0	1	4	0	0	1	1	0	1	0	19	22	2	0	0	2	24	0	3	3	0	0	9	17	5	4	26	0	0	0	2	2	1	2	1	4	0	32	0	1	0	1	3	2	0	2	0	1	5	0	4	90	0	108	8	0	47	0	0	0	0	0	0	1	0	0	3	6	0	0	22	0	21	5	1	6	0	0	6	0	1	0	0	0	8	0	0	0	3	0	1	1	0	0	6	0	0	0	0	1	0	0	165	0	1	9	1	9	0	1	2	0	0	1	1	31	2	2	5	1	0	1	2	1	0	0	2	0	1	1	0	4	3	1	0	6	4	4	0	3	0	0	2	1	0	4	1	0	0	5	65	0	0	1	1	0	31	10	0	13
