OTU	SMPL97	SMPL93	SMPL91	SMPL9	SMPL81	SMPL79	SMPL75	SMPL71	SMPL69	SMPL65	SMPL63	SMPL61	SMPL73	SMPL57	SMPL89	SMPL55	SMPL51	SMPL5	SMPL47	SMPL85	SMPL41	SMPL231	SMPL291	SMPL285	SMPL219	SMPL321	SMPL237	SMPL145	SMPL241	SMPL3	SMPL211	SMPL279	SMPL99	SMPL21	SMPL207	SMPL203	SMPL205	SMPL165	SMPL215	SMPL149	SMPL187	SMPL185	SMPL181	SMPL49	SMPL329	SMPL379	SMPL175	SMPL23	SMPL77	SMPL17	SMPL261	SMPL221	SMPL359	SMPL167	SMPL201	SMPL127	SMPL273	SMPL19	SMPL191	SMPL35	SMPL229	SMPL297	SMPL123	SMPL121	SMPL209	SMPL1	SMPL223	SMPL119	SMPL235	SMPL225	SMPL29	SMPL33	SMPL331	SMPL83	SMPL179	SMPL233	SMPL67	SMPL397	SMPL143	SMPL263	SMPL355	SMPL213	SMPL129	SMPL11	SMPL113	SMPL105	SMPL139	SMPL161	SMPL147	SMPL109	SMPL257	SMPL27	SMPL303	SMPL171	SMPL345	SMPL385	SMPL399	SMPL163	SMPL357	SMPL131	SMPL173	SMPL155	SMPL253	SMPL95	SMPL137	SMPL243	SMPL311	SMPL333	SMPL111	SMPL339	SMPL239	SMPL43	SMPL169	SMPL183	SMPL103	SMPL277	SMPL135	SMPL195	SMPL87	SMPL13	SMPL133	SMPL115	SMPL189	SMPL141	SMPL381	SMPL227	SMPL117	SMPL15	SMPL151	SMPL301	SMPL157	SMPL245	SMPL247	SMPL153	SMPL249	SMPL25	SMPL59	SMPL255	SMPL259	SMPL107	SMPL393	SMPL265	SMPL361	SMPL295	SMPL271	SMPL275	SMPL281	SMPL283	SMPL335	SMPL287	SMPL317	SMPL293	SMPL299	SMPL305	SMPL307	SMPL177	SMPL309	SMPL217	SMPL31	SMPL193	SMPL319	SMPL199	SMPL313	SMPL315	SMPL323	SMPL289	SMPL325	SMPL125	SMPL327	SMPL337	SMPL159	SMPL341	SMPL343	SMPL347	SMPL349	SMPL351	SMPL353	SMPL363	SMPL197	SMPL365	SMPL7	SMPL269	SMPL39	SMPL367	SMPL45	SMPL37	SMPL371	SMPL267	SMPL373	SMPL53	SMPL251	SMPL101	SMPL375	SMPL377	SMPL383	SMPL369	SMPL387	SMPL389	SMPL391	SMPL395
OTU145	0	0	0	0	4	3	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	18	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	1	0	1	0	1	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	2	0	0	0	0	0	1	0	0	1	0	0	0	15	1	1	0	0	0	0	4	1	0
OTU146	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	4	0	27	1	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	5	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	5
OTU147	0	0	1	0	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	6	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	22	0	35	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	5	0	0	2	0	0	0	0	0	0	1	0	0
OTU148	0	0	0	0	24	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	3	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	6	1	1	5	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	3	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	7	0	1	0	0	4	0	0	3	0	0	0	0	6	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	5	0	3	0
OTU149	0	0	0	0	12	1	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	7	0	1	0	0	1	0	0	0	1	0	0	0	1	2	0	3	2	1	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	13	0	1	0	0	1	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	1	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0
OTU150	0	0	0	1	6	1	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	2	0	0	0	0	0	2	0	0	1	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	5	3	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	2	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	10	0	0	3	0	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	3	2	1
OTU151	0	0	0	0	5	2	0	0	1	3	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	2	1	0	10	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	2	0	3	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	1	0	0	1	8	0	0
OTU152	0	0	0	0	3	1	0	0	0	1	0	0	0	0	0	0	0	0	10	0	0	9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	2	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
OTU153	0	0	0	0	10	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	7	0	1	4	0	0	0	0	0	0	0	0	0	1	1	0	0	3	0	1	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	6	0	1	0	0	0	0	1	0	0	0	0	0	11	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	2	1	0	0	0	0	0	0	0	0	0	2	0	0	1	7	0	0	0	0	0	4	1	2	0
OTU154	0	0	0	0	6	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	3	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	4	0	1	0	3	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	3	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	1	0	5	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	2	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	8	0	0	2	0	1	2	0	0	0	0	0	0	6	0	0	1	0	0	0	0	0	0	0	1	0	2	1	0	1	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	1	2	0
OTU155	0	0	0	0	9	1	0	0	2	3	0	2	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	4	0	0	0	0	0	2	0	1	1	2	0	0	0	1	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	8	2	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	1	1	0	0	0	0	0	0	0	0	0	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	2	3	0
OTU156	0	0	1	0	10	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7	1	1	7	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	6	0	6	0	0	2	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	1	0	0	0	0	13	0	1	0	0	0	1	0	0	0
OTU157	0	0	0	0	6	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	4	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	18	1	0	6	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	1	0	1	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	1	0	0	0	1	1	0	0	5	0	0	0	0	0	1	1	1	0
OTU158	0	0	0	0	5	1	0	0	0	1	0	1	2	1	0	0	0	0	1	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	4	1	0	4	0	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	19	0	2	0	0	0	2	3	0	0
OTU159	0	0	0	1	3	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	16	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	4	0	1	5	1	2	0	0	0	0	0	0	0	8	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	2	0	0	2	0	0	0	3	0	0	0	0	0	1	1	1	0
OTU160	0	0	0	0	4	1	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	8	1	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	3	0	1	0	0	1	0	0	0	0	0	0	0	4	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	33	0	0	0	0	0	0	3	0	0
OTU161	0	0	0	0	6	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	5	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	21	4	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	1	0	0	1	0	2	0	0	1	1	0	0	0	0	0	0	0	0	3	1	0	0
OTU162	0	0	0	0	5	1	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	3	2	0	0	0	0	0	1	4	2	0	3	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	1	4	0	13	0	0	2	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	1	0	0	4	0	1	0	0	0	13	2	0	4
OTU163	0	0	0	0	0	42	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	3	0	0	0
OTU164	0	0	0	0	2	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	6	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	3	2	0	12	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	19	0	0	0	1	0	5	4	1	0
OTU165	0	0	0	0	25	2	0	0	0	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	5	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	8	0	1	3	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	1	3	0	0
OTU166	0	0	0	0	2	10	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	4	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	8	1	0	6	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	2	1	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	24	0	0	0	0	0	0	0	1	0
OTU167	0	0	1	0	1	5	0	0	0	2	0	0	1	1	0	0	0	0	1	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	1	1	0	11	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	2	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	23	0	0	1	0	0	1	1	0	0
OTU168	0	0	0	0	5	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	5	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	10	1	1	4	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	4	0	4	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	3	1	0	0	0	0	0	0	0	0	1	1	0	0	2	9	0	0	0	1	0	0	0	1	0
OTU169	0	0	0	0	3	1	1	0	0	3	0	1	0	1	0	0	0	0	1	0	0	0	0	5	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	1	0	0	1	3	0	0	0	0	0	4	0	0	0	1	0	0	0	1	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	1	0	7	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	1	0	5	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	3	2	0
OTU170	0	0	0	0	10	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	27	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	5	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	3	0	0	0	2	0	0	0	1	0	0	0	0	1	1	0	0	2	2	1	0
OTU171	0	0	0	0	20	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	1	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	3	1	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	6	0	0	1	0	0	0	0	0	0	0	0	0	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	1	1	1
OTU172	0	0	0	0	9	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	9	0	0	7	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	3	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	11	0	0	0	0	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	11	2	0	0
OTU173	0	0	0	1	18	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	1	0	0	0	1	4	0	0	0	0	0	2	1	0	1	2	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	2	0	6	1	0	5	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0
OTU174	0	0	0	0	9	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	1	0	0	0	0	2	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	2	0	1	1	0	0	0	0	1	0	0	0	0	0	4	0	7	1	0	7	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	5	1	2	3
OTU175	0	0	0	1	7	2	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	3	1	0	4	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	6	1	1	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	2	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	1	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	5	4	1	0
